iter	Passed	Remaining
477	811	741
478	813	740
479	814	738
480	816	736
481	817	734
482	819	733
483	821	731
484	822	729
485	824	727
486	826	726
487	827	724
488	829	722
489	831	720
490	832	719
491	834	717
492	836	715
493	837	714
494	839	712
495	841	710
496	842	708
497	844	707
498	847	706
499	848	704
500	850	702
501	852	701
502	854	699
503	856	698
504	857	696
505	859	694
506	861	693
507	863	691
508	865	690
509	866	688
510	868	686
511	870	684
512	872	683
513	873	681
514	875	679
515	877	678
516	878	676
517	880	674
518	882	673
519	883	671
520	885	669
521	887	668
522	889	666
523	890	664
524	892	662
525	893	661
526	895	659
527	897	657
528	899	656
529	901	654
530	902	652
531	904	651
532	906	649
533	907	647
534	909	646
535	911	644
536	912	642
537	914	640
538	916	639
539	917	637
540	920	636
541	921	634
542	923	632
543	925	630
544	927	629
545	929	627
546	930	626
547	932	624
548	933	622
549	935	621
550	937	619
551	939	617
552	941	616
553	942	614
554	944	612
555	946	610
556	948	609
557	949	607
558	951	605
559	953	604
560	955	603
561	957	601
562	959	599
563	960	597
564	962	596
565	963	594
566	965	592
567	967	591
568	969	589
569	970	587
570	972	585
571	973	584
572	975	582
573	977	580
574	979	578
575	980	577
576	982	575
577	984	573
578	985	572
579	987	570
580	989	568
581	990	566
582	992	565
583	994	563
584	995	561
585	997	560
586	1000	558
587	1001	557
588	1003	555
589	1005	553
590	1007	552
591	1009	550
592	1010	548
593	1012	547
594	1014	545
595	1015	543
596	1017	541
597	1019	540
598	1020	538
599	1022	536
600	1024	535
601	1025	533
602	1027	531
603	1029	530
604	1031	528
605	1032	526
606	1034	525
607	1036	523
608	1037	521
609	1039	519
610	1041	518
611	1043	516
612	1044	514
613	1046	513
614	1048	511
615	1049	509
616	1051	507
617	1052	506
618	1054	504
619	1056	502
620	1058	500
621	1059	499
622	1061	497
623	1063	495
624	1065	494
625	1066	492
626	1068	490
627	1070	489
628	1072	487
629	1073	485
630	1075	484
631	1076	482
632	1078	480
633	1080	478
634	1082	477
635	1084	475
636	1086	474
637	1087	472
638	1089	470
639	1091	468
640	1092	467
641	1094	465
642	1095	463
643	1097	461
644	1099	460
645	1100	458
646	1102	456
647	1104	455
648	1106	453
649	1108	451
650	1109	450
651	1111	448
652	1113	446
653	1115	445
654	1116	443
655	1118	441
656	1120	439
657	1121	438
658	1123	436
659	1125	434
660	1126	433
661	1128	431
662	1130	429
663	1132	427
664	1133	426
665	1135	424
666	1137	422
667	1138	421
668	1140	419
669	1142	417
670	1144	416
671	1146	414
672	1148	412
673	1149	411
674	1151	409
675	1153	407
676	1155	406
677	1156	404
678	1158	402
679	1160	400
680	1161	399
681	1163	397
682	1164	395
683	1166	394
684	1168	392
685	1170	390
686	1172	389
687	1174	387
688	1175	385
689	1177	383
690	1179	382
691	1181	380
692	1182	378
693	1184	377
694	1186	375
695	1188	373
696	1189	372
697	1191	370
698	1193	368
699	1194	366
700	1196	365
701	1198	363
702	1199	361
703	1201	360
704	1203	358
705	1205	356
706	1207	355
707	1208	353
708	1210	351
709	1212	349
710	1214	348
711	1215	346
712	1217	344
713	1219	343
714	1220	341
715	1222	339
716	1224	338
717	1225	336
718	1227	334
719	1229	332
720	1230	331
721	1232	329
722	1233	327
723	1235	326
724	1237	324
725	1238	322
726	1240	320
727	1242	319
728	1243	317
729	1245	315
730	1247	313
731	1248	312
732	1250	310
733	1251	308
734	1253	306
735	1255	305
736	1256	303
737	1258	301
738	1260	300
739	1261	298
740	1263	296
741	1265	294
742	1266	293
743	1268	291
744	1269	289
745	1271	288
746	1272	286
747	1274	284
748	1276	282
749	1278	281
750	1279	279
751	1281	277
752	1284	276
753	1285	274
754	1287	272
755	1289	271
756	1290	269
757	1292	267
758	1294	266
759	1296	264
760	1297	262
761	1299	260
762	1301	259
763	1303	257
764	1304	255
765	1306	254
766	1308	252
767	1310	250
768	1311	249
769	1313	247
770	1315	245
771	1317	243
772	1318	242
773	1320	240
774	1322	238
775	1323	237
776	1325	235
777	1327	233
778	1329	232
779	1330	230
780	1332	228
781	1334	226
782	1336	225
783	1338	223
784	1339	221
785	1341	220
786	1343	218
787	1345	216
788	1347	215
789	1349	213
790	1350	211
791	1352	210
792	1354	208
793	1356	206
794	1357	204
795	1359	203
796	1361	201
797	1362	199
798	1364	198
799	1366	196
800	1367	194
801	1369	192
802	1371	191
803	1373	189
804	1374	187
805	1376	186
806	1378	184
807	1380	182
808	1381	181
809	1383	179
810	1385	177
811	1387	175
812	1389	174
813	1390	172
814	1392	170
815	1394	169
816	1395	167
817	1397	165
818	1399	164
819	1400	162
820	1402	160
821	1404	158
822	1405	157
823	1407	155
824	1408	153
825	1410	151
826	1412	150
827	1414	148
828	1416	146
829	1418	145
830	1419	143
831	1421	141
832	1423	140
833	1425	138
834	1427	136
835	1428	135
836	1430	133
837	1432	131
838	1433	129
839	1435	128
840	1436	126
841	1438	124
842	1440	123
843	1441	121
844	1443	119
845	1445	117
846	1447	116
847	1448	114
848	1450	112
849	1451	111
850	1453	109
851	1455	107
852	1457	105
853	1458	104
854	1460	102
855	1462	100
856	1463	99
857	1465	97
858	1467	95
859	1469	93
860	1470	92
861	1472	90
862	1474	88
863	1476	87
864	1477	85
865	1479	83
866	1481	81
867	1482	80
868	1484	78
869	1486	76
870	1487	75
871	1489	73
872	1491	71
873	1492	70
874	1494	68
875	1496	66
876	1497	64
877	1499	63
878	1501	61
879	1503	59
880	1504	58
881	1506	56
882	1508	54
883	1510	52
884	1511	51
885	1513	49
886	1515	47
887	1517	46
888	1518	44
889	1520	42
890	1522	41
891	1523	39
892	1525	37
893	1527	35
894	1528	34
895	1530	32
896	1532	30
897	1534	29
898	1536	27
899	1538	25
900	1539	23
901	1541	22
902	1543	20
903	1544	18
904	1546	17
905	1548	15
906	1549	13
907	1551	11
908	1553	10
909	1554	8
910	1556	6
911	1558	5
912	1560	3
913	1561	1
914	1563	0
